Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2022-12-14,141.37864685058594,144.78452547159364,139.35485909896488,143.49128007302596,82291200
2022-12-15,134.7544403076172,139.98666700994897,134.29044945457875,139.3054883080985,98931900
2022-12-16,132.78988647460938,135.8897316869335,132.01986228619933,134.94201656134896,160156900
2022-12-19,130.67726135253906,133.47107341378072,129.64070069453433,133.38222793972224,79592600
2022-12-20,130.60816955566406,131.54601807895426,128.22898467531743,129.70980289008992,77432800
2022-12-21,133.7178497314453,135.06045852691952,131.0523805964525,131.27943511713806,85928000
2022-12-22,130.53904724121094,132.8392531621343,128.63373518479884,132.63194706396897,77852100
2022-12-23,130.1737823486328,130.72661868998517,127.9821703785141,129.24580060550824,63814900
2022-12-27,128.36717224121094,129.72952959065904,127.07392696075074,129.69991443642402,69007800
2022-12-28,124.42823028564453,129.35441720097245,124.26040601430196,128.0118079665687,85438400
2022-12-29,127.95255279541016,128.8114224477477,126.09659687618785,126.35326658304521,75703700
2022-12-30,128.26844787597656,128.28819633379305,125.80042540883515,126.76789648243701,77034200
